Wavelength[Angstrom];Normalized Flux[Counts]
4284.00;1.121306
4286.00;1.070636
4288.00;1.043810
4290.00;1.031017
4292.00;1.021937
4294.00;1.009006
4296.00;1.057429
4298.00;1.104615
4300.00;1.100717
4302.00;1.031429
4304.00;0.974706
4306.00;0.972826
4308.00;0.976723
4310.00;1.016205
4312.00;1.029503
4314.00;1.050001
4316.00;1.020240
4318.00;0.992819
4320.00;0.993415
4322.00;1.013133
4324.00;1.011941
4326.00;0.993828
4328.00;0.976540
4330.00;0.972138
4332.00;1.012307
4334.00;1.076643
4336.00;1.127634
4338.00;1.120618
4340.00;1.091500
4342.00;1.039041
4344.00;1.011436
4346.00;0.955722
4348.00;0.969616
4350.00;0.961820
4352.00;0.934903
4354.00;0.907023
4356.00;0.947009
4358.00;1.096911
4360.00;1.207515
4362.00;1.187613
4364.00;1.070727
4366.00;0.983831
4368.00;0.951503
4370.00;0.973101
4372.00;0.960812
4374.00;0.965122
4376.00;0.978145
4378.00;1.016343
4380.00;1.050413
4382.00;1.066142
4384.00;1.078340
4386.00;1.086823
4388.00;1.087144
4390.00;1.086410
4392.00;1.081825
4394.00;1.059401
4396.00;1.073616
4398.00;1.066830
4400.00;1.055641
4402.00;0.994836
4404.00;0.941827
4406.00;0.926833
4408.00;0.964801
4410.00;1.056421
4412.00;1.108513
4414.00;1.103606
4416.00;1.086915
4418.00;1.099525
4420.00;1.131716
4422.00;1.116629
4424.00;1.094022
4426.00;1.059814
4428.00;1.084301
4430.00;1.074442
4432.00;1.114336
4434.00;1.100534
4436.00;1.106541
4438.00;1.108604
4440.00;1.122636
4442.00;1.114611
4444.00;1.121123
4446.00;1.147811
4448.00;1.184908
4450.00;1.157532
4452.00;1.131807
4454.00;1.120206
4456.00;1.131532
4458.00;1.143134
4460.00;1.156523
4462.00;1.151617
4464.00;1.133137
4466.00;1.103102
4468.00;1.111539
4470.00;1.110301
4472.00;1.122911
4474.00;1.110301
4476.00;1.096407
4478.00;1.079440
4480.00;1.058025
4482.00;1.069031
4484.00;1.080403
4486.00;1.081504
4488.00;1.053302
4490.00;1.077606
4492.00;1.122911
4494.00;1.173903
4496.00;1.177800
4498.00;1.188210
4500.00;1.168813
4502.00;1.138044
4504.00;1.124929
4506.00;1.157945
4508.00;1.170922
4510.00;1.143730
4512.00;1.141024
4514.00;1.128643
4516.00;1.137035
4518.00;1.114703
4520.00;1.126305
4522.00;1.155010
4524.00;1.174407
4526.00;1.194538
4528.00;1.192428
4530.00;1.209945
4532.00;1.196326
4534.00;1.145702
4536.00;1.123324
4538.00;1.152121
4540.00;1.181744
4542.00;1.160513
4544.00;1.119701
4546.00;1.117409
4548.00;1.113924
4550.00;1.124837
4552.00;1.123828
4554.00;1.116629
4556.00;1.110118
4558.00;1.126901
4560.00;1.176104
4562.00;1.194629
4564.00;1.187430
4566.00;1.174636
4568.00;1.177204
4570.00;1.155331
4572.00;1.107412
4574.00;1.079944
4576.00;1.084713
4578.00;1.117409
4580.00;1.167024
4582.00;1.181240
4584.00;1.176425
4586.00;1.156432
4588.00;1.168538
4590.00;1.181102
4592.00;1.171518
4594.00;1.155836
4596.00;1.158816
4598.00;1.175003
4600.00;1.181744
4602.00;1.127038
4604.00;1.105440
4606.00;1.118601
4608.00;1.175324
4610.00;1.165832
4612.00;1.141620
4614.00;1.118417
4616.00;1.105624
4618.00;1.114932
4620.00;1.123828
4622.00;1.129423
4624.00;1.118601
4626.00;1.119610
4628.00;1.127313
4630.00;1.118509
4632.00;1.144922
4634.00;1.165328
4636.00;1.176333
4638.00;1.150929
4640.00;1.148820
4642.00;1.165832
4644.00;1.170143
4646.00;1.193621
4648.00;1.178809
4650.00;1.167620
4652.00;1.138227
4654.00;1.133137
4656.00;1.119105
4658.00;1.104615
4660.00;1.134834
4662.00;1.171702
4664.00;1.171839
4666.00;1.122820
4668.00;1.079532
4670.00;1.083109
4672.00;1.103606
4674.00;1.113924
4676.00;1.117317
4678.00;1.134100
4680.00;1.151709
4682.00;1.164411
4684.00;1.154414
4686.00;1.147627
4688.00;1.124516
4690.00;1.107641
4692.00;1.098608
4694.00;1.123507
4696.00;1.158128
4698.00;1.176837
4700.00;1.166428
4702.00;1.156111
4704.00;1.161338
4706.00;1.169913
4708.00;1.173444
4710.00;1.147811
4712.00;1.117317
4714.00;1.101130
