Wavelength[Angstrom];Normalized Flux[Counts]
3650.00;0.360602
3652.00;0.342515
3654.00;0.339107
3656.00;0.346808
3658.00;0.350216
3660.00;0.332210
3662.00;0.324509
3664.00;0.338608
3666.00;0.373013
3668.00;0.396502
3670.00;0.394509
3672.00;0.390007
3674.00;0.381711
3676.00;0.401502
3678.00;0.399412
3680.00;0.399412
3682.00;0.395907
3684.00;0.392306
3686.00;0.394010
3688.00;0.374509
3690.00;0.362901
3692.00;0.345007
3694.00;0.354605
3696.00;0.371711
3698.00;0.386502
3700.00;0.394911
3702.00;0.402113
3704.00;0.404412
3706.00;0.404814
3708.00;0.406100
3710.00;0.407612
3712.00;0.398914
3714.00;0.388705
3716.00;0.375216
3718.00;0.369010
3720.00;0.363415
3722.00;0.364605
3724.00;0.365602
3726.00;0.378705
3728.00;0.372306
3730.00;0.357708
3732.00;0.332805
3734.00;0.333014
3736.00;0.334702
3738.00;0.332306
3740.00;0.313608
3742.00;0.305409
3744.00;0.294107
3746.00;0.284010
3748.00;0.272612
3750.00;0.276904
3752.00;0.288914
3754.00;0.291904
3756.00;0.283110
3758.00;0.274911
3760.00;0.280104
3762.00;0.288914
3764.00;0.303415
3766.00;0.299605
3768.00;0.300714
3770.00;0.313801
3772.00;0.334010
3774.00;0.349814
3776.00;0.355505
3778.00;0.362113
3780.00;0.358705
3782.00;0.359702
3784.00;0.376213
3786.00;0.400602
3788.00;0.412403
3790.00;0.415104
3792.00;0.415505
3794.00;0.422611
3796.00;0.412612
3798.00;0.386904
3800.00;0.355907
3802.00;0.332001
3804.00;0.323914
3806.00;0.318110
3808.00;0.321004
3810.00;0.323914
3812.00;0.325409
3814.00;0.329010
3816.00;0.350104
3818.00;0.365216
3820.00;0.353512
3822.00;0.341309
3824.00;0.320312
3826.00;0.322306
3828.00;0.307611
3830.00;0.316100
3832.00;0.309107
3834.00;0.288608
3836.00;0.250714
3838.00;0.218110
3840.00;0.215907
3842.00;0.220007
3844.00;0.229316
3846.00;0.228110
3848.00;0.237402
3850.00;0.243914
3852.00;0.251502
3854.00;0.250907
3856.00;0.269814
3858.00;0.284316
3860.00;0.300409
3862.00;0.295216
3864.00;0.294509
3866.00;0.280811
3868.00;0.270907
3870.00;0.267306
3872.00;0.279509
3874.00;0.291309
3876.00;0.290409
3878.00;0.284509
3880.00;0.291213
3882.00;0.291213
3884.00;0.286615
3886.00;0.282515
3888.00;0.278801
3890.00;0.278705
3892.00;0.280409
3894.00;0.293303
3896.00;0.296904
3898.00;0.297708
3900.00;0.304412
3902.00;0.328206
3904.00;0.362901
3906.00;0.394107
3908.00;0.419702
3910.00;0.432515
3912.00;0.439814
3914.00;0.430007
3916.00;0.420505
3918.00;0.415714
3920.00;0.434814
3922.00;0.444911
3924.00;0.447515
3926.00;0.448110
3928.00;0.430907
3930.00;0.400313
3932.00;0.360216
3934.00;0.324702
3936.00;0.301309
3938.00;0.281808
3940.00;0.257001
3942.00;0.228914
3944.00;0.198110
3946.00;0.188415
3948.00;0.198608
3950.00;0.225714
3952.00;0.275104
3954.00;0.318110
3956.00;0.353303
3958.00;0.377804
3960.00;0.411100
3962.00;0.439412
3964.00;0.446100
3966.00;0.427804
3968.00;0.396100
3970.00;0.359412
3972.00;0.323801
3974.00;0.290505
3976.00;0.259911
3978.00;0.229605
3980.00;0.207612
3982.00;0.229911
3984.00;0.266615
3986.00;0.331309
3988.00;0.380602
3990.00;0.440505
3992.00;0.484509
3994.00;0.516213
3996.00;0.536502
3998.00;0.548512
4000.00;0.567708
4002.00;0.578415
4004.00;0.583303
4006.00;0.579814
4008.00;0.583801
4010.00;0.593512
4012.00;0.604605
4014.00;0.609203
4016.00;0.620007
4018.00;0.618608
4020.00;0.617708
4022.00;0.619203
4024.00;0.629010
4026.00;0.644010
4028.00;0.650811
4030.00;0.651502
4032.00;0.642306
4034.00;0.627113
4036.00;0.621502
4038.00;0.619509
4040.00;0.600313
4042.00;0.575103
4044.00;0.565907
4046.00;0.606100
4048.00;0.642901
4050.00;0.659911
4052.00;0.643914
4054.00;0.616309
4056.00;0.584605
4058.00;0.569702
4060.00;0.573705
4062.00;0.598110
4064.00;0.608303
4066.00;0.616004
4068.00;0.614605
4070.00;0.603801
4072.00;0.589911
4074.00;0.573608
4076.00;0.573608
4078.00;0.594203
4080.00;0.601213
4082.00;0.602708
4084.00;0.596502
4086.00;0.594702
4088.00;0.593914
4090.00;0.593303
4092.00;0.610409
4094.00;0.636004
4096.00;0.664316
4098.00;0.675007
4100.00;0.689814
4102.00;0.685602
4104.00;0.683801
4106.00;0.656213
4108.00;0.625505
4110.00;0.595907
4112.00;0.572708
4114.00;0.563303
4116.00;0.565907
4118.00;0.580409
4120.00;0.600409
4122.00;0.613013
4124.00;0.624702
4126.00;0.633415
4128.00;0.634010
4130.00;0.630104
4132.00;0.615907
4134.00;0.615907
4136.00;0.628608
4138.00;0.640505
4140.00;0.636406
4142.00;0.610907
4144.00;0.599814
4146.00;0.591808
4148.00;0.594107
4150.00;0.585907
4152.00;0.584814
4154.00;0.580409
4156.00;0.574316
4158.00;0.569412
4160.00;0.562306
4162.00;0.563705
4164.00;0.576100
4166.00;0.586406
4168.00;0.595506
4170.00;0.604911
4172.00;0.620602
4174.00;0.639814
4176.00;0.647210
4178.00;0.647306
4180.00;0.635007
4182.00;0.617403
4184.00;0.595602
4186.00;0.589412
4188.00;0.583013
4190.00;0.593801
4192.00;0.603608
4194.00;0.624316
4196.00;0.633914
4198.00;0.633206
4200.00;0.625907
4202.00;0.623013
4204.00;0.626615
4206.00;0.629509
4208.00;0.634605
4210.00;0.611406
4212.00;0.597611
4214.00;0.596004
4216.00;0.623303
4218.00;0.641808
4220.00;0.658206
4222.00;0.664814
4224.00;0.663801
4226.00;0.643512
4228.00;0.638608
4230.00;0.655103
4232.00;0.677210
4234.00;0.667113
4236.00;0.629702
4238.00;0.579107
4240.00;0.559702
4242.00;0.578801
4244.00;0.611808
4246.00;0.638512
4248.00;0.645007
4250.00;0.658303
4252.00;0.663801
4254.00;0.687901
4256.00;0.705103
4258.00;0.712515
4260.00;0.689605
4262.00;0.662805
4264.00;0.639203
4266.00;0.630602
4268.00;0.632612
4270.00;0.643014
