#  lambda      flux
#   [A]        [erg cm^-2 s^-1 A^-1]
 4363.0071     7.914203e-01
 4367.0513     7.743049e-01
 4371.0954     7.561059e-01
 4375.1396     7.866444e-01
 4379.1838     7.687111e-01
 4383.2280     7.840490e-01
 4387.2722     7.402325e-01
 4391.3163     7.174491e-01
 4395.3605     6.331449e-01
 4399.4047     7.213597e-01
 4403.4489     7.336270e-01
 4407.4930     7.506720e-01
 4411.5372     7.414261e-01
 4415.5814     7.486186e-01
 4419.6256     8.033153e-01
 4423.6698     8.347356e-01
 4427.7139     7.864649e-01
 4431.7581     7.974665e-01
 4435.8023     7.873280e-01
 4439.8465     7.919164e-01
 4443.8906     8.030787e-01
 4447.9348     7.967932e-01
 4451.9790     8.555833e-01
 4456.0232     8.865867e-01
 4460.0674     7.936937e-01
 4464.1115     7.647190e-01
 4468.1557     7.654905e-01
 4472.1999     8.203833e-01
 4476.2441     8.536588e-01
 4480.2882     8.956046e-01
 4484.3324     8.432425e-01
 4488.3766     8.385025e-01
 4492.4208     7.980697e-01
 4496.4650     8.618257e-01
 4500.5091     9.081115e-01
 4504.5533     9.724001e-01
 4508.5975     9.612701e-01
 4512.6417     9.081374e-01
 4516.6858     9.181427e-01
 4520.7300     9.309559e-01
 4524.7742     9.522056e-01
 4528.8184     9.394816e-01
 4532.8626     8.695545e-01
 4536.9067     8.360073e-01
 4540.9509     8.366645e-01
 4544.9951     8.650553e-01
 4549.0393     9.112020e-01
 4553.0835     8.563337e-01
 4557.1276     8.740141e-01
 4561.1718     8.632753e-01
 4565.2160     8.784840e-01
 4569.2602     8.871253e-01
 4573.3043     9.491544e-01
 4577.3485     9.305303e-01
 4581.3927     9.283181e-01
 4585.4369     9.147673e-01
 4589.4811     8.820164e-01
 4593.5252     8.690450e-01
 4597.5694     8.751224e-01
 4601.6136     9.109228e-01
 4605.6578     9.419636e-01
 4609.7019     9.273940e-01
 4613.7461     9.580076e-01
 4617.7903     9.147056e-01
 4621.8345     9.377707e-01
 4625.8787     9.754995e-01
 4629.9228     9.724967e-01
 4633.9670     9.557503e-01
 4638.0112     9.173991e-01
 4642.0554     8.750194e-01
 4646.0995     8.883780e-01
 4650.1437     9.349699e-01
 4654.1879     9.513270e-01
 4658.2321     8.747791e-01
 4662.2763     9.232638e-01
 4666.3204     8.444353e-01
 4670.3646     8.431848e-01
 4674.4088     9.034267e-01
 4678.4530     8.637878e-01
 4682.4971     8.647780e-01
 4686.5413     8.839409e-01
 4690.5855     9.025764e-01
 4694.6297     9.100564e-01
 4698.6739     8.742408e-01
 4702.7180     8.915060e-01
 4706.7622     9.057742e-01
 4710.8064     8.730307e-01
 4714.8506     8.594697e-01
 4718.8947     8.894969e-01
 4722.9389     9.544915e-01
 4726.9831     9.337989e-01
 4731.0273     9.211668e-01
 4735.0715     9.151598e-01
 4739.1156     9.019985e-01
 4743.1598     9.160202e-01
 4747.2040     9.210570e-01
 4751.2482     9.563724e-01
 4755.2924     9.483478e-01
 4759.3365     9.442441e-01
 4763.3807     8.889889e-01
 4767.4249     9.354290e-01
 4771.4691     9.172324e-01
 4775.5132     9.232624e-01
 4779.5574     9.257224e-01
 4783.6016     9.617862e-01
 4787.6458     9.115592e-01
 4791.6900     8.882048e-01
 4795.7341     9.171605e-01
 4799.7783     9.577159e-01
 4803.8225     9.188501e-01
 4807.8667     9.673314e-01
 4811.9108     9.192452e-01
 4815.9550     9.972038e-01
 4819.9992     9.595926e-01
 4824.0434     9.680972e-01
 4828.0876     9.425804e-01
 4832.1317     9.514408e-01
 4836.1759     9.159904e-01
 4840.2201     9.335175e-01
 4844.2643     9.118009e-01
