#  lambda      flux
#   [A]        [erg cm^-2 s^-1 A^-1]
 7226.2851     9.459472e-01
 7230.3293     9.560132e-01
 7234.3735     9.275180e-01
 7238.4176     1.028812e+00
 7242.4618     9.802822e-01
 7246.5060     7.820561e-01
 7250.5502     7.219622e-01
 7254.5944     7.498522e-01
 7258.6385     7.410824e-01
 7262.6827     7.974883e-01
 7266.7269     8.896320e-01
 7270.7711     8.777288e-01
 7274.8153     9.231569e-01
 7278.8594     9.664546e-01
 7282.9036     8.299586e-01
 7286.9478     8.048368e-01
 7290.9920     9.639376e-01
 7295.0361     1.038632e+00
 7299.0803     9.290718e-01
 7303.1245     9.339264e-01
 7307.1687     8.956881e-01
 7311.2129     8.116437e-01
 7315.2570     9.457989e-01
 7319.3012     9.627878e-01
 7323.3454     1.045930e+00
 7327.3896     9.807791e-01
 7331.4337     9.301828e-01
 7335.4779     8.698145e-01
 7339.5221     7.786641e-01
 7343.5663     8.679858e-01
 7347.6105     9.883831e-01
 7351.6546     1.038522e+00
 7355.6988     1.013222e+00
 7359.7430     9.110703e-01
 7363.7872     8.765680e-01
 7367.8313     8.984880e-01
 7371.8755     8.624322e-01
 7375.9197     8.230673e-01
 7379.9639     9.189387e-01
 7384.0081     9.804028e-01
 7388.0522     1.070412e+00
 7392.0964     1.057489e+00
 7396.1406     9.409764e-01
 7400.1848     8.991405e-01
 7404.2289     9.043144e-01
 7408.2731     8.727421e-01
 7412.3173     9.365005e-01
 7416.3615     1.008257e+00
 7420.4057     1.015379e+00
 7424.4498     9.952394e-01
 7428.4940     9.450791e-01
 7432.5382     9.558866e-01
 7436.5824     8.830537e-01
 7440.6265     9.209623e-01
 7444.6707     9.169409e-01
 7448.7149     8.126701e-01
 7452.7591     7.914632e-01
 7456.8033     7.814325e-01
 7460.8474     6.896138e-01
